PartID,BricksetUrl,DesignID,Name,Image,45544,45560,31313,Over/Under,Not needed,PPU
4211655,http://brickset.com/parts/4211655,32523,,,,10,,10,,
4509376,http://brickset.com/parts/4509376,32523,,,4,,,4,,
6007973,http://brickset.com/parts/6007973,32523,,,4,,,4,,
4495930,http://brickset.com/parts/4495930,32524,,,4,16,,20,,
4495935,http://brickset.com/parts/4495935,32524,,,,,6,-6,X,
4142823,http://brickset.com/parts/4142823,32526,,,,,6,-6,X,
4211713,http://brickset.com/parts/4211713,32526,,,2,6,,8,,
4585040,http://brickset.com/parts/4585040,32526,,,4,,,4,,
4514554,http://brickset.com/parts/4514554,32556,,,6,14,4,16,,
4211714,http://brickset.com/parts/4211714,32557,,,,4,,4,,
4563044,http://brickset.com/parts/4563044,33299,,,2,1,,3,,
4211866,http://brickset.com/parts/4211866,40490,,,6,7,,13,,
4522933,http://brickset.com/parts/4522933,41239,,,,,4,-4,X,
4522934,http://brickset.com/parts/4522934,41239,,,6,,,6,,
4173941,http://brickset.com/parts/4173941,41669,,,4,1,4,1,,
4185661,http://brickset.com/parts/4185661,41669,,,,2,6,-4,,
4164133,http://brickset.com/parts/4164133,41677,,,,2,,2,,
4211741,http://brickset.com/parts/4211741,41677,,,,1,,1,,
4162857,http://brickset.com/parts/4162857,41678,,,4,,,4,,
4173975,http://brickset.com/parts/4173975,41678,,,,,4,-4,X,
6035364,http://brickset.com/parts/6035364,41897,,,2,2,,4,,
4175442,http://brickset.com/parts/4175442,42003,,,,,14,-14,,
4210857,http://brickset.com/parts/4210857,42003,,,8,4,,12,,
4211758,http://brickset.com/parts/4211758,42610,,,,7,4,3,,
4206482,http://brickset.com/parts/4206482,43093,,,20,57,28,49,,
4631648,http://brickset.com/parts/4631648,43675,,,,4,,4,,
4211862,http://brickset.com/parts/4211862,43857,,,,3,,3,,
4211805,http://brickset.com/parts/4211805,44294,,,5,2,2,5,,
4184286,http://brickset.com/parts/4184286,44309,,,,2,4,-2,,
4614801,http://brickset.com/parts/4614801,44771,,,,4,,4,,
4211845,http://brickset.com/parts/4211845,44772,,,,4,,4,,
6008527,http://brickset.com/parts/6008527,44809,,,2,,,2,,
4198367,http://brickset.com/parts/4198367,45590,,,4,,,4,,
4225033,http://brickset.com/parts/4225033,48989,,,6,10,12,4,,
4624645,http://brickset.com/parts/4624645,50163,,,,1,,1,,
